region	chr	midPos	Nsites
(98,597)(100,599)(100,600)	Mt	350	501	0.107024
(198,697)(200,699)(200,700)	Mt	450	501	0.111846
(298,797)(300,799)(300,800)	Mt	550	501	0.112718
(398,897)(400,899)(400,900)	Mt	650	501	0.117559
(498,997)(500,999)(500,1000)	Mt	750	501	0.114413
(598,1097)(600,1099)(600,1100)	Mt	850	501	0.113267
(698,1197)(700,1199)(700,1200)	Mt	950	501	0.113125
(798,1297)(800,1299)(800,1300)	Mt	1050	501	0.118008
(898,1397)(900,1399)(900,1400)	Mt	1150	501	0.120908
(998,1497)(1000,1499)(1000,1500)	Mt	1250	501	0.120647
(1098,1597)(1100,1599)(1100,1600)	Mt	1350	501	0.111000
(1198,1697)(1200,1699)(1200,1700)	Mt	1450	501	0.105527
(1298,1797)(1300,1799)(1300,1800)	Mt	1550	501	0.101942
(1398,1897)(1400,1899)(1400,1900)	Mt	1650	501	0.085911
(1498,1997)(1500,1999)(1500,2000)	Mt	1750	501	0.085043
(1598,2097)(1600,2099)(1600,2100)	Mt	1850	501	0.082711
(1698,2197)(1700,2199)(1700,2200)	Mt	1950	501	0.082751
(1798,2297)(1800,2299)(1800,2300)	Mt	2050	501	0.078185
(1898,2397)(1900,2399)(1900,2400)	Mt	2150	501	0.089443
(1998,2497)(2000,2499)(2000,2500)	Mt	2250	501	0.085414
(2098,2597)(2100,2599)(2100,2600)	Mt	2350	501	0.111180
(2198,2697)(2200,2699)(2200,2700)	Mt	2450	501	0.123600
(2298,2797)(2300,2799)(2300,2800)	Mt	2550	501	0.122309
(2398,2897)(2400,2899)(2400,2900)	Mt	2650	501	0.121698
(2498,2997)(2500,2999)(2500,3000)	Mt	2750	501	0.124155
(2598,3097)(2600,3099)(2600,3100)	Mt	2850	501	0.147747
(2698,3197)(2700,3199)(2700,3200)	Mt	2950	501	0.144111
(2798,3297)(2800,3299)(2800,3300)	Mt	3050	501	0.150072
(2898,3397)(2900,3399)(2900,3400)	Mt	3150	501	0.149960
(2998,3497)(3000,3499)(3000,3500)	Mt	3250	501	0.149847
(3098,3597)(3100,3599)(3100,3600)	Mt	3350	501	0.128948
(3198,3697)(3200,3699)(3200,3700)	Mt	3450	501	0.129739
(3298,3797)(3300,3799)(3300,3800)	Mt	3550	501	0.122004
(3398,3897)(3400,3899)(3400,3900)	Mt	3650	501	0.121088
(3498,3997)(3500,3999)(3500,4000)	Mt	3750	501	0.200529
(3598,4097)(3600,4099)(3600,4100)	Mt	3850	501	0.197180
(3698,4197)(3700,4199)(3700,4200)	Mt	3950	501	0.194947
(3798,4297)(3800,4299)(3800,4300)	Mt	4050	501	0.217404
(3898,4397)(3900,4399)(3900,4400)	Mt	4150	501	0.216204
(3998,4497)(4000,4499)(4000,4500)	Mt	4250	501	0.161609
(4098,4597)(4100,4599)(4100,4600)	Mt	4350	501	0.159059
(4198,4697)(4200,4699)(4200,4700)	Mt	4450	501	0.158471
(4298,4797)(4300,4799)(4300,4800)	Mt	4550	501	0.141257
(4398,4897)(4400,4899)(4400,4900)	Mt	4650	501	0.141858
(4498,4997)(4500,4999)(4500,5000)	Mt	4750	501	0.143445
(4598,5097)(4600,5099)(4600,5100)	Mt	4850	501	0.139617
(4698,5197)(4700,5199)(4700,5200)	Mt	4950	501	0.144080
(4798,5297)(4800,5299)(4800,5300)	Mt	5050	501	0.132592
(4898,5397)(4900,5399)(4900,5400)	Mt	5150	501	0.139269
(4998,5497)(5000,5499)(5000,5500)	Mt	5250	501	0.137225
(5098,5597)(5100,5599)(5100,5600)	Mt	5350	501	0.137881
(5198,5697)(5200,5699)(5200,5700)	Mt	5450	501	0.135143
(5298,5797)(5300,5799)(5300,5800)	Mt	5550	501	0.135693
(5398,5897)(5400,5899)(5400,5900)	Mt	5650	501	0.126100
(5498,5997)(5500,5999)(5500,6000)	Mt	5750	501	0.132602
(5598,6097)(5600,6099)(5600,6100)	Mt	5850	501	0.156493
(5698,6197)(5700,6199)(5700,6200)	Mt	5950	501	0.153819
(5798,6297)(5800,6299)(5800,6300)	Mt	6050	501	0.151837
(5898,6397)(5900,6399)(5900,6400)	Mt	6150	501	0.126457
(5998,6497)(6000,6499)(6000,6500)	Mt	6250	501	0.105761
(6098,6597)(6100,6599)(6100,6600)	Mt	6350	501	0.118395
(6198,6697)(6200,6699)(6200,6700)	Mt	6450	501	0.114287
(6298,6797)(6300,6799)(6300,6800)	Mt	6550	501	0.109136
(6398,6897)(6400,6899)(6400,6900)	Mt	6650	501	0.113607
(6498,6997)(6500,6999)(6500,7000)	Mt	6750	501	0.110501
(6598,7097)(6600,7099)(6600,7100)	Mt	6850	501	0.103574
(6698,7197)(6700,7199)(6700,7200)	Mt	6950	501	0.104089
(6798,7297)(6800,7299)(6800,7300)	Mt	7050	501	0.109741
(6898,7397)(6900,7399)(6900,7400)	Mt	7150	501	0.102355
(6998,7497)(7000,7499)(7000,7500)	Mt	7250	501	0.110142
(7098,7597)(7100,7599)(7100,7600)	Mt	7350	501	0.105165
(7198,7697)(7200,7699)(7200,7700)	Mt	7450	501	0.106753
(7298,7797)(7300,7799)(7300,7800)	Mt	7550	501	0.105303
(7398,7897)(7400,7899)(7400,7900)	Mt	7650	501	0.114878
(7498,7997)(7500,7999)(7500,8000)	Mt	7750	501	0.113004
(7598,8097)(7600,8099)(7600,8100)	Mt	7850	501	0.120213
(7698,8197)(7700,8199)(7700,8200)	Mt	7950	501	0.114526
(7798,8297)(7800,8299)(7800,8300)	Mt	8050	501	0.109454
(7898,8397)(7900,8399)(7900,8400)	Mt	8150	501	0.095310
(7998,8497)(8000,8499)(8000,8500)	Mt	8250	501	0.093190
